id,pred_category,pred_operational_domain,pred_region,judge_category,judge_operational_domain,judge_region
g030,operations,land,middle-east,operations,land,americas
g025,procurement,air,indo-pacific,procurement,air,indo-pacific
g055,industry,air,global,industry,air,global
g036,technology,air,americas,technology,air,americas
g039,technology,air,americas,technology,air,americas
g034,operations,multi,middle-east,operations,air,middle-east
g035,technology,air,americas,technology,air,americas
g003,operations,sea,europe,operations,sea,europe
g032,operations,air,middle-east,operations,air,middle-east
g043,technology,air,americas,technology,multi,americas
g012,operations,cyber,americas,operations,cyber,americas
g002,operations,air,middle-east,operations,air,middle-east
g018,procurement,land,americas,procurement,land,americas
g027,operations,multi,americas,operations,land,americas
g022,procurement,air,global,procurement,air,global
g017,procurement,land,global,procurement,land,global
g020,industry,land,americas,industry,land,americas
g031,operations,land,americas,operations,land,americas
g011,industry,cyber,americas,technology,cyber,americas
g023,procurement,air,americas,procurement,air,americas
g024,technology,air,global,technology,air,global
g053,policy,multi,global,operations,multi,global
g050,policy,multi,global,policy,multi,global
g009,technology,space,americas,technology,space,americas
g040,technology,sea,indo-pacific,technology,sea,indo-pacific
g010,operations,space,global,operations,space,global
g058,industry,multi,global,industry,multi,global
g007,technology,space,americas,technology,space,americas
g021,procurement,air,global,procurement,air,global
g005,operations,sea,indo-pacific,operations,sea,indo-pacific
g047,policy,multi,global,policy,multi,global
g045,operations,land,middle-east,operations,land,middle-east
g042,technology,sea,americas,technology,sea,americas
g014,operations,cyber,indo-pacific,operations,cyber,indo-pacific
g044,policy,multi,global,policy,multi,global
g004,operations,sea,americas,operations,sea,americas
g016,operations,cyber,americas,operations,cyber,americas
g049,policy,multi,africa,policy,multi,africa
g054,industry,sea,global,industry,sea,americas
g006,operations,sea,americas,operations,sea,americas
g048,policy,multi,global,policy,multi,global
g013,operations,cyber,global,policy,cyber,global
g028,operations,land,africa,operations,land,africa
g029,operations,air,global,operations,air,global
g037,technology,air,global,technology,air,americas
g019,procurement,land,global,procurement,land,global
g033,operations,air,middle-east,operations,air,middle-east
g026,operations,land,global,operations,land,global
g051,policy,multi,global,policy,multi,global
g056,industry,cyber,global,industry,cyber,global
g041,technology,multi,americas,technology,land,americas
g001,operations,sea,indo-pacific,operations,sea,indo-pacific
g038,technology,air,americas,technology,air,americas
g057,industry,multi,global,industry,multi,global
