id,text,category,operational_domain
0,"The Royal Australian Air Force has formally awarded a $2.4 billion contract to Boeing Defence Australia for the acquisition of 24 additional F/A-18F Super Hornet Block III aircraft, intended to bolster its air superiority capabilities through the late 2030s. The deal includes integrated weapons packages, pilot training programs, and a ten-year sustainment agreement. Australian Defence Minister Richard Marles confirmed the contract signing at a ceremony in Canberra, calling it a cornerstone of the nation's sovereign air power strategy.",procurement,air
1,"Poland's Ministry of National Defence has finalized a €3.1 billion agreement with Airbus Defence and Space for the delivery of 32 Eurofighter Typhoon Tranche 4 jets, making Warsaw the newest European nation to operate the platform. The contract also covers ground-based radar infrastructure, maintenance depots, and licensed assembly of select components by Polish firm PZL Mielec. Deliveries are expected to commence in 2028 and continue through 2033.",procurement,air
2,"Lockheed Martin has been awarded a $780 million contract by the U.S. Air Force to produce an additional batch of AGM-158B JASSM-ER cruise missiles, responding to accelerated depletion of stockpiles cited by Pentagon officials. The order covers roughly 650 missiles to be delivered across a three-year production run at the company's Troy, Alabama facility. Officials noted the contract includes provisions for enhanced warhead lethality upgrades under a parallel engineering development effort.",procurement,air
3,"India's Defence Acquisition Council has greenlit a ₹62,000 crore procurement of 26 Dassault Rafale Marine fighters for the Indian Navy, intended for deployment aboard the INS Vikrant carrier. The single-vendor deal, approved after years of negotiations, includes Transfer of Technology clauses allowing Hindustan Aeronautics Limited to manufacture approximately 60 percent of the airframe components locally. France's DGA confirmed the agreement aligns with the broader Indo-French strategic defence partnership signed in 2023.",procurement,air
4,"The German Luftwaffe has contracted Rheinmetall and MBDA Germany jointly to supply an advanced airborne self-protection jammer suite for its Eurofighter fleet, valued at approximately €540 million. The system, designated SPEAR-EW-DE, will be integrated onto 85 aircraft and provide full-spectrum electronic warfare coverage against modern surface-to-air missile threats. Programme officials stated initial operational capability is targeted for 2027 following a rigorous flight-test campaign at Manching Air Base.",procurement,air
5,"Japan's Acquisition, Technology & Logistics Agency (ATLA) has selected Mitsubishi Heavy Industries to lead development and production of 20 homegrown KC-46J tanker aircraft, based on a modified Boeing 767 airframe, under a ¥980 billion programme. The contract, announced Thursday in Tokyo, is intended to extend the operational reach of Japan Air Self-Defense Force F-35A and F-2 fighters amid growing regional tensions. Boeing will serve as a secondary contractor providing avionics integration and aerial refuelling system components.",procurement,air
6,"The Netherlands has signed a Letter of Offer and Acceptance with the United States government for 20 MQ-9B SkyGuardian remotely piloted aircraft, in a Foreign Military Sale valued at $1.35 billion. The Royal Netherlands Air Force intends to use the aircraft for long-endurance intelligence, surveillance, and reconnaissance missions over the North Sea and NATO's eastern flank. General Atomics Aeronautical Systems confirmed it will establish a regional maintenance and training hub at Leeuwarden Air Base.",procurement,air
7,"South Korea's Defense Acquisition Program Administration (DAPA) has awarded Korea Aerospace Industries a ₩4.2 trillion contract to develop and produce 40 units of the next-generation FA-50 Block 20 light combat aircraft, featuring an AESA radar and conformal fuel tanks. The enhanced variant is designed to replace ageing F-5E/F Tiger IIs in the Republic of Korea Air Force's inventory by 2031. The contract also includes an export development fund aimed at marketing the aircraft to Southeast Asian and Middle Eastern customers.",procurement,air
8,"The Canadian government has issued a C$1.9 billion task order to L3Harris Technologies for the supply of airborne signals intelligence pods and ground exploitation systems under the long-running Project Polar Horizon. The equipment will be fitted to four new Bombardier Global 6500-based surveillance aircraft currently under modification at the company's facility in Mirabel, Quebec. Royal Canadian Air Force commanders said full operational capability is expected by fiscal year 2029–30.",procurement,air
9,"Turkey's Presidency of Defence Industries (SSB) has concluded a TL 28 billion contract with TAI and Roketsan for the serial production of the first 20 KAAN fifth-generation fighter aircraft following the completion of envelope-expansion flight testing. The agreement stipulates that domestic content will exceed 55 percent by the fifth production lot, with the indigenous ASELSAN MURAD AESA radar replacing the interim foreign sensor suite. Deliveries to the Turkish Air Force are scheduled to begin in late 2028, with full squadron strength of 100 aircraft targeted by 2035.",procurement,air
10,"The Polish Ministry of National Defence has signed a $1.4 billion contract with Hyundai Rotem for the delivery of 180 K2 Black Panther main battle tanks, with the first batch expected to arrive by late 2025. The agreement also includes a technology transfer clause to support domestic co-production at the PGZ facility in Poznań. This marks one of the largest armored vehicle procurements in Polish history, aimed at reinforcing the country's eastern flank commitments under NATO.",procurement,land
11,"Australia's Department of Defence has awarded a $760 million contract to Rheinmetall Defence Australia for 129 Lynx KF41 infantry fighting vehicles intended for the 3rd Brigade. Deliveries are scheduled to begin in 2027, with full operational capability projected for 2030. The deal strengthens Canberra's push to modernize its ground combat forces as part of the LAND 400 Phase 3 program.",procurement,land
